Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Variant Image,Variant Weight Unit,Status
"mala-de-viagem-framelock-max-prateada-grande","Mala de viagem Framelock Max Prateada Grande","<div>Descubra a harmonia entre inovação e funcionalidade com a Framelock Max.</div><div><br></div><div>Com um design sofisticado, moderno e funcional, a coleção Framelock Max é sinônimo de leveza, praticidade e durabilidade. Para adicionar ainda mais tranquilidade a cada jornada, esta nova linha apresenta o mecanismo Eazylock™, que inclui um cadeado TSA com controle centralizado.</div><div><br></div><div>A alça RightHeight™, com ajuste a múltiplos níveis de altura, proporciona conforto personalizado, enquanto o sistema com 4 rodas duplas multidirecionais assegura uma mobilidade fluida e sem esforço.</div><div><br></div><div>Seu interior é revestido com material Recyclex, que combina a funcionalidade de uma malha prática com um fecho seguro, garantindo organização e proteção para seus pertences. </div>","Samsonite Brasil","","","brand-name--Samsonite, capacity--107, coleccion-maleta, coleccion-nuevo-cl, color--Prateada, color-hex--#C0C0C0, com bolsos internos. *Fechos internos na mesma cor., controlado por um fecho centralizado *Leve, expandible--Não, fabricado com garrafas plásticas PET recicladas. *Painel divisor em ambos os compartimentos, feature-exterior-list--*Alça com sistema RightHeight™, feature-interior-list--*Forro interno Recyclex, FRAMELOCKMAX-19jul24, grupo-color--Prata, grupo-material--Policarbonato, maleta-anidada--Sim, MaletasGrandes-19jul24, material-grid--1496195423, pais-de-origen--China, peso-producto-kilos--5.42, product-material--100% Policarbonato, product-model--Mala de viagem Grande, product-size--Grande, product-type--Mala, product-wheels--Duplas, profundidad--33, que oferece múltiplos níveis de altura *Sistema de 4 rodas duplas multidirecionais *Mecanismo Eazylock™ com cadeado TSA, release-year--2024, samsonite-line--FRAMELOCK MAX, season--2024, shell--Rígida, shopify-taxable--TRUE, style--Travel, target-gender--Unissex, tipo-candado--TSA integrado, warranty-time--10 anos","true","Title","Default Title","","","","","14961954231  U","5420","","","deny","manual","1600.00","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/8c1342dbffea9e1d5f0e002ee651da78805d8205b8db3fec04472679fb557f96.jpg?v=1729200129","1","","","active"
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/0577d25327962d1357c8889aafd359f7062bca0ed8cb1ef841d5ef3288438464.jpg?v=1729200131","2","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/765d2a6ea99d10e9629ed23b7fc716331acd25b43ab34d5b0012b4b8db28a240.jpg?v=1729200136","3","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/a4ea50b01c5c2fa0b67a56efa05219c7948ce9d12ff524c66aae07425f83723b.jpg?v=1729200138","4","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/8c4a7e8da84f31fc81e876b79514d14f0ffb6e4fc24bcf7e7f7adc12806e012c.jpg?v=1729200140","5","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/89352681cd5fb678e91eb08989ad244868c9e1d3f9a5c74f14a98bd0fd099ae9.jpg?v=1729200142","6","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/01bbd1122da8558ca010f9408e6178e38e425ed78f8abb9f04a2bcd911e8d388.jpg?v=1729200143","7","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/128ab6a5febd75ab1a9bfdea4c711ae8badb98de9b1fdbdb4b6a41ea0a91bfaf.jpg?v=1729200145","8","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/67f252add0f103415763c1eff37283faafdb1845f1c3b2dadee824a0fa4a061e.jpg?v=1729200147","9","","",""
"mala-de-viagem-framelock-max-prateada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/aa87e18fc242f0d57b7865f5432d7c5045ab803ff38ff05b25ed849cd53aafbb.jpg?v=1729200149","10","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","Mala de viagem Framelock Max Azul Esverdeada Grande","<div>Descubra a harmonia entre inovação e funcionalidade com a Framelock Max.</div><div><br></div><div>Com um design sofisticado, moderno e funcional, a coleção Framelock Max é sinônimo de leveza, praticidade e durabilidade. Para adicionar ainda mais tranquilidade a cada jornada, esta nova linha apresenta o mecanismo Eazylock™, que inclui um cadeado TSA com controle centralizado.</div><div><br></div><div>A alça RightHeight™, com ajuste a múltiplos níveis de altura, proporciona conforto personalizado, enquanto o sistema com 4 rodas duplas multidirecionais assegura uma mobilidade fluida e sem esforço.</div><div><br></div><div>Seu interior é revestido com material Recyclex, que combina a funcionalidade de uma malha prática com um fecho seguro, garantindo organização e proteção para seus pertences. </div>","Samsonite Brasil","","","brand-name--Samsonite, capacity--107, coleccion-maleta, coleccion-nuevo-cl, color--Azul Esverdeada, color-hex--#4682B4, com bolsos internos. *Fechos internos na mesma cor., controlado por um fecho centralizado *Leve, expandible--Não, fabricado com garrafas plásticas PET recicladas. *Painel divisor em ambos os compartimentos, feature-exterior-list--*Alça com sistema RightHeight™, feature-interior-list--*Forro interno Recyclex, FRAMELOCKMAX-19jul24, grupo-color--Azul, grupo-material--Policarbonato, maleta-anidada--Sim, MaletasGrandes-19jul24, material-grid--1496194127, pais-de-origen--China, peso-producto-kilos--5.42, product-material--100% Policarbonato, product-model--Mala de viagem Grande, product-size--Grande, product-type--Mala, product-wheels--Duplas, profundidad--33, que oferece múltiplos níveis de altura *Sistema de 4 rodas duplas multidirecionais *Mecanismo Eazylock™ com cadeado TSA, release-year--2024, samsonite-line--FRAMELOCK MAX, season--2024, shell--Rigida, shopify-taxable--TRUE, style--Travel, target-gender--Unissex, tipo-candado--TSA integrado, warranty-time--10 anos","true","Title","Default Title","","","","","14961941271  U","5420","","","deny","manual","1600.00","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/b11f602441e1f293c1c7cfdc244358d2abfd289795a11807751fc5860d9830f7.jpg?v=1729200647","1","","","active"
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/e370fe3946bb336becbc481d90d9bb738647342aef992a02dd4f51724e1e2a54.jpg?v=1729200648","2","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/4e525f73b6493eadb2e3c1762ff82e7f9997175d834709722d53dc32fe764a2e.jpg?v=1729200652","3","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/76a5947258db2df8951553798f9bba15a75a0fa58ea9293f02ee9bfce1173c13.jpg?v=1729200653","4","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/97565f12c38fb4bb81b903d781c608bda8d7ea358a086d1e9f97cd87b7374bab.jpg?v=1729200655","5","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/278096c72ed73417eac56d8902e758e5619c542e908f0bee97ebe83517c89505.jpg?v=1729200657","6","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/653907aad933647ce7cc96a62b56c1122fe8f41087072ab324e93bd2780cc86a.jpg?v=1729200659","7","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/7af2dbb3d93b2e739b7a21b1262e99215cb58665d9af765efece57043f686b35.jpg?v=1729200661","8","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/254ae8140d8286a8a362d1d63076d97e82e9e3c7595a1e57c8e44b6100504743.jpg?v=1729200663","9","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/d051c2777844fe501d0b7024652f1dd652a94aeed6758befb9e6398b3452d51d.jpg?v=1729200665","10","","",""
"mala-de-viagem-framelock-max-azul-esverdeada-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/f8c97ccf4da95f6853c4d693d345e0cc7c2fa4de2a25674c73242f473558ba6e_93fae717-cdd1-4f91-909b-96857b26fb83.jpg?v=1729200667","11","","",""
"mala-de-viagem-framelock-max-preta-grande","Mala de viagem Framelock Max Preta Grande","<div>Descubra a harmonia entre inovação e funcionalidade com a Framelock Max.</div><div><br></div><div>Com um design sofisticado, moderno e funcional, a coleção Framelock Max é sinônimo de leveza, praticidade e durabilidade. Para adicionar ainda mais tranquilidade a cada jornada, esta nova linha apresenta o mecanismo Eazylock™, que inclui um cadeado TSA com controle centralizado.</div><div><br></div><div>A alça RightHeight™, com ajuste a múltiplos níveis de altura, proporciona conforto personalizado, enquanto o sistema com 4 rodas duplas multidirecionais assegura uma mobilidade fluida e sem esforço.</div><div><br></div><div>Seu interior é revestido com material Recyclex, que combina a funcionalidade de uma malha prática com um fecho seguro, garantindo organização e proteção para seus pertences. </div>","Samsonite Brasil","","","brand-name--Samsonite, capacity--107, coleccion-maleta, coleccion-nuevo-cl, color--Preta, color-hex--#000000, com bolsos internos. *Fechos internos na mesma cor., controlado por um fecho centralizado *Leve, expandible--Não, fabricado com garrafas plásticas PET recicladas. *Painel divisor em ambos os compartimentos, feature-exterior-list--*Alça com sistema RightHeight™, feature-interior-list--*Forro interno Recyclex, FRAMELOCKMAX-19jul24, grupo-color--Preto, grupo-material--Policarbonato, maleta-anidada--Sim, MaletasGrandes-19jul24, material-grid--1496190423, pais-de-origen--China, peso-producto-kilos--5.42, product-material--100% Policarbonato, product-model--Mala de viagem Grande, product-size--Grande, product-type--Mala, product-wheels--Duplas, profundidad--33, que oferece múltiplos níveis de altura *Sistema de 4 rodas duplas multidirecionais *Mecanismo Eazylock™ com cadeado TSA, release-year--2024, samsonite-line--FRAMELOCK MAX, season--2024, shell--Rígida, shopify-taxable--TRUE, style--Travel, target-gender--Unissex, tipo-candado--TSA integrado, warranty-time--10 anos","true","Title","Default Title","","","","","14961904231  U","5420","","","deny","manual","1600.00","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/102d72cff26e522d323abbab11e0bbffe17ea43fa2692c7e99e72b76b6842e39.jpg?v=1729199752","1","","","active"
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/b5060c3d34a516d5e0f32af05834f4bddbaa6765c567e98bc9b45a2ccc6f88cc.jpg?v=1729199754","2","","",""
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/61886e33b3d60aad0b94b526142dfae459746bfff528ff682ed35c482fd7f72a.jpg?v=1729199757","3","","",""
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/29204b6162ca1957dedda563098a7b1e18bb80e03e3f7fb2534e70049ff7ecb0.jpg?v=1729199759","4","","",""
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/49718e65b6f5c30b682693cd885e15331d96f7ae2e4a40c2206c0ea90d042829.jpg?v=1729199761","5","","",""
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/7f743e7b5886ff5965631824b7f0054e9adeff2094e7ab17e96fa5f841ef96a9.jpg?v=1729199762","6","","",""
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/e9558b8092f6e0e598af71071209aa707d696fb6d5ec343ce66819b31aa920be.jpg?v=1729199764","7","","",""
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/ac3a7090ea9746c1d454d2d19255732fb9b9de3a59b2f10d4346634e6d91ccf3.jpg?v=1729199766","8","","",""
"mala-de-viagem-framelock-max-preta-grande","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/a9ae9cd35d7744b18ae9d7718630132846de0a5919d3b7bbd3cced7d9bae23ba.jpg?v=1729199768","9","","",""
"mala-de-viagem-framelock-max-prateada-pequena","Mala de viagem Framelock Max Prateada Pequena","<div>Descubra a harmonia entre inovação e funcionalidade com a Framelock Max.</div><div><br></div><div>Com um design sofisticado, moderno e funcional, a coleção Framelock Max é sinônimo de leveza, praticidade e durabilidade. Para adicionar ainda mais tranquilidade a cada jornada, esta nova linha apresenta o mecanismo Eazylock™, que inclui um cadeado TSA com controle centralizado.</div><div><br></div><div>A alça RightHeight™, com ajuste a múltiplos níveis de altura, proporciona conforto personalizado, enquanto o sistema com 4 rodas duplas multidirecionais assegura uma mobilidade fluida e sem esforço.</div><div><br></div><div>Seu interior é revestido com material Recyclex, que combina a funcionalidade de uma malha prática com um fecho seguro, garantindo organização e proteção para seus pertences. </div>","Samsonite Brasil","","","brand-name--Samsonite, capacity--36, coleccion-maleta, coleccion-nuevo-cl, color--Prateada, color-hex--#C0C0C0, com bolsos internos. *Fechos internos na mesma cor., controlado por um fecho centralizado *Leve, expandible--Não, fabricado com garrafas plásticas PET recicladas. *Painel divisor em ambos os compartimentos, feature-exterior-list--*Alça com sistema RightHeight™, feature-interior-list--*Forro interno Recyclex, FRAMELOCKMAX-19jul24, grupo-color--Prata, grupo-material--Policarbonato, maleta-anidada--Sim, MaletasCabina-19ju24, material-grid--1496185423, pais-de-origen--China, peso-producto-kilos--3.26, product-material--100% Policarbonato, product-model--Mala de viagem Pequena, product-size--Pequena, product-type--Mala, product-wheels--Duplas, profundidad--22, que oferece múltiplos níveis de altura *Sistema de 4 rodas duplas multidirecionais *Mecanismo Eazylock™ com cadeado TSA, release-year--2024, samsonite-line--FRAMELOCK MAX, season--2024, shell--Rígida, shopify-taxable--TRUE, style--Travel, target-gender--Unissex, tipo-candado--TSA integrado, warranty-time--10 anos","true","Title","Default Title","","","","","14961854231  U","3260","","","deny","manual","1400.00","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/fef612ab927114e5715db50ca6e878f5d31291e684aed3d8855e61806b216984.jpg?v=1729200267","1","","","active"
"mala-de-viagem-framelock-max-prateada-pequena","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/c2ce1e5cc5dd2808fc5ba82bbad90103e96ca70f862aa347703a03ec313858e9.jpg?v=1729200269","2","","",""
"mala-de-viagem-framelock-max-prateada-pequena","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/b1bb7d20d84e687ac8dca6c213a1dfb11d614b15c7e1c0f2224556366f5884a8.jpg?v=1729200272","3","","",""
"mala-de-viagem-framelock-max-prateada-pequena","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/ce01b22b1e0fe50e766ee04c299e8ab3416f01c59de66724a717400ae68c7aa5.jpg?v=1729200274","4","","",""
"mala-de-viagem-framelock-max-prateada-pequena","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/c4f26a59f5bbfe6a1a493e9096a710daeadf724c64afbb229efc1a6f3d7093bb.jpg?v=1729200275","5","","",""
"mala-de-viagem-framelock-max-prateada-pequena","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0459/6488/6172/files/f1eacf38769524ea78c2a686783576daf3dff99d8c4649e1f86a8e9e1476f8a8.jpg?v=1729200277","6","","",""
